CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC SYNONYM.NEW CCCCCCCCCCCCCCC/
CC                                                                    /
CC                BADA SYNONYM FILE                                   /
CC                                                                    /
CC                                                                    /
CC      File_name: SYNONYM.NEW                                        /
CC                                                                    /
CC      Creation_date: Apr 30 2002                                    /
CC                                                                    /
CC      Modification_date: May 09 2019                                /
CC                                                                    /
CC                                                                    /
CC====== Aircraft List ===============================================/
CC                                                                    /
CC   A/C    MANUFACTURER        NAME OR MODEL             FILE   ICAO /
CD - C310   CESSNA              310R                     C310__  Y    /
CD * C311   CEA                 CEA-311 Anequim          E300__  Y    /
CD * C320   CESSNA              320 Skyknight            T210__  Y    /
CD * C335   CESSNA              335                      C402__  Y    /
CD * C336   CESSNA              336 Skymaster            BE76__  Y    /
CD * C337   CESSNA              337 Super Skymaster      C82S__  Y    /
CD - C340   CESSNA              340A                     C340__  Y    /
CD * C365   EKW                 C-3605                   TEX2__  Y    /
CD - C402   CESSNA              402B                     C402__  Y    /
CD * C404   CESSNA              404 Titan                PA31__  Y    /
CD * C408   CESSNA              408 SkyCourier           C208__  Y    /
CD * C411   CESSNA              411                      PA31__  Y    /
CD - C414   CESSNA              414A                     C414__  Y    /
CD * C42    IKARUS              C-42                     C162__  Y    /
CD - C421   CESSNA              421C                     C421__  Y    /
CD * C425   CESSNA              425 Corsair              PAY3__  Y    /
CD * C441   CESSNA              441 Conquest             PAY3__  Y    /
CD * C46    CURTISS             C-46 Commando            F27___  Y    /
CD * C5     LOCKHEED            C-5 Galaxy               A345__  Y    /
CD * C500   CESSNA              500 Citation 1           C551__  Y    /
CD * C501   CESSNA              501 Citation 1SP         C551__  Y    /
CD - C510   CESSNA              Citation Mustang         C510__  Y    /
CD - C525   CESSNA              Citation CJ1+            C525__  Y    /
CD * C526   CESSNA              526 CitationJet          E50P__  Y    /
CD - C550   CESSNA              Citation II              C550__  Y    /
CD - C551   CESSNA              Citation II/SP           C551__  Y    /
CD - C55B   CESSNA              Citation Bravo           C55B__  Y    /
CD - C560   CESSNA              Citation V               C560__  Y    /
CD - C56X   CESSNA              Citation XLS+            C56X__  Y    /
CD * C5M    LOCKHEED            C-5M Super Galaxy        A345__  Y    /
CD - C650   CESSNA              Citation VII             C650__  Y    /
CD - C680   CESSNA              Citation Sovereign       C680__  Y    /
CD * C68A   CESSNA              680A Citation Latitude   C680__  Y    /
CD * C700   CESSNA              Citation Longitude       CL30__  Y    /
CD * C72R   CESSNA              172RG Cutlass RG         DA40__  Y    /
CD - C750   CESSNA              Citation X               C750__  Y    /
CD * C77R   CESSNA              177RG Cardinal RG        P28A__  Y    /
CD * C82    FAIRCHILD           C-82 Packet              S2P___  Y    /
CD * C82R   CESSNA              R182 Skylane RG          TB20__  Y    /
CD - C82S   CESSNA              T182T Skylane TC         C82S__  Y    /
CD * C82T   CESSNA              TR182 Turbo Skylane RG   C82S__  Y    /
CD * C919   COMAC               C-919                    A20N__  Y    /
CD * C97    BOEING              C-97 Stratofreighter     C30J__  Y    /
CD * CA12   COMP AIR            CA-12 Comp Air 12        BE9L__  Y    /
CD * CA19   COMMONWEALTH        CA-13/19 Boomerang       C402__  Y    /
CD * CA25   COMMONWEALTH        CA-25 Winjeel            C182__  Y    /
CD * CA41   CORVUS              CA-41 Racer              E300__  Y    /
CD * CA9    COMP AIR            CA-9 Comp Air 9          TBM7__  Y    /
CD * CAT    CONSOLIDATED        PBY Catalina             S2P___  Y    /
CD * CC19   CUB CRAFTERS        CC-19 XCub               C172__  Y    /
CD * CD2    DORNIER             CD-2 Seastar             L410__  Y    /
CD * CE22   CHERNOV             Che-22 Corvette          SVNH__  Y    /
CD * CE25   CHERNOV             Che-25                   MAGC__  Y    /
CD * CE43   CERVA               CE-43 Guepard            SR22__  Y    /
CD * CH10   ZENAIR              CH-100 Mono-Zénith       MAGC__  Y    /
CD * CH20   ZENAIR              CH-200 Zénith            C162__  Y    /
CD * CH25   ZENAIR              CH-250 Zénith            C162__  Y    /
